,title,director,cast,country,release_year,rating,budget,revenue,runtime,movie_id,genre,streaming
231,Don't Be Afraid of the Dark,Troy Nixey,"Katie Holmes, Guy Pearce, Bailee Madison, Jack Thompson, Garry McDonald, Alan Dale, Julia Blake, Edwina Ritchard, Emilia Burns, Guillermo del Toro","United States, Australia, Mexico",2010,R,25000000.0,36993168.0,99.0,46261.0,"Fantasy,Horror,Thriller,",Netflix
232,Don't Knock Twice,Caradog W. James,"Katee Sackhoff, Lucy Boynton, Richard Mylan, Nick Moran, Pascale Wilson, Javier Botet, Pooneh Hajimohammadi, Sarah Buckland",United Kingdom,2016,R,0.0,0.0,93.0,420245.0,"Horror,",Netflix
233,Don't Look Down,Daniel Gordon,Richard Branson,United Kingdom,2016,R,0.0,0.0,90.0,58752.0,"TV Movie,Horror,Thriller,",Netflix
234,Doom,Andrzej Bartkowiak,"Karl Urban, Rosamund Pike, Dwayne Johnson, Deobia Oparei, Ben Daniels, Razaaq Adoti, Richard Brake, Dexter Fletcher, Al Weaver, Brian Steele","United Kingdom, Czech Republic, Germany, United States",2005,R,60000000.0,58072119.0,105.0,8814.0,"Action,Horror,Science Fiction,",Netflix
235,Elizabeth Harvest,Sebastian Gutierrez,"Abbey Lee, Ciarán Hinds, Carla Gugino, Matthew Beard, Dylan Baker",United States,2019,R,0.0,4973.0,105.0,457041.0,"Science Fiction,Thriller,Horror,Mystery,",Netflix
236,Emelie,Michael Thelin,"Sarah Bolger, Joshua Rush, Carly Adams, Thomas Bair, Susan Pourfar, Chris Beetem",United States,2016,R,0.0,0.0,82.0,329010.0,"Horror,Thriller,",Netflix
237,Event Horizon,Paul W.S. Anderson,"Laurence Fishburne, Sam Neill, Kathleen Quinlan, Joely Richardson, Richard T. Jones, Jack Noseworthy, Jason Isaacs, Sean Pertwee","United Kingdom, United States",1997,R,60000000.0,26673242.0,96.0,8413.0,"Horror,Science Fiction,Mystery,",Netflix
238,Final Destination,James Wong,"Devon Sawa, Ali Larter, Kerr Smith, Kristen Cloke, Seann William Scott, Tony Todd, Daniel Roebuck, Chad Donella, Roger Guenveur Smith, Amanda Detmer",United States,2000,R,23000000.0,112880294.0,98.0,9532.0,"Horror,",Netflix
239,Final Destination 2,David R. Ellis,"Ali Larter, A.J. Cook, Michael Landes, Terrence 'T.C.' Carson, Jonathan Cherry, Keegan Connor Tracy, Sarah Carter, Lynda Boyd, David Paetkau, Justina Machado","United States, Canada",2003,R,26000000.0,90941129.0,90.0,9358.0,"Horror,Mystery,",Netflix
240,Final Destination 3,James Wong,"Mary Elizabeth Winstead, Ryan Merriman, Kris Lemche, Alexz Johnson, Sam Easton, Jesse Moss, Gina Holden, Texas Battle, Chelan Simmons, Crystal Lowe, Amanda Crew","United States, Germany",2006,R,25000000.0,118890272.0,93.0,9286.0,"Horror,Mystery,",Netflix
241,First Kill,Steven C. Miller,"Hayden Christensen, Bruce Willis, Gethin Anthony, Megan Leonard, Tyler Jon Olson, Shea Buckner, William DeMeo, Magi Avila, Ty Shelton, Christine Dye","United Kingdom, Canada, United States",2017,R,0.0,9572765.0,99.0,760161.0,"Horror,Thriller,",Netflix
242,Follow Me,Asri Bendacha,Asri Bendacha,"United Arab Emirates, United States, United Kingdom",2017,R,0.0,3551439.0,88.0,606625.0,"Horror,Thriller,",Netflix
243,Gehenna: Where Death Lives,Hiroshi Katagiri,"Eva Swan, Simon Phillips, Justin Gordon, Doug Jones, Lance Henriksen, Matthew Edward Hegstrom, Patrick Gorman, Sean Sprawling, Masashi Odate","Japan, United States",2016,R,0.0,0.0,107.0,403283.0,"Horror,Thriller,Mystery,Science Fiction,",Netflix
244,Ghost House,Rich Ragsdale,"Scout Taylor-Compton, James Landry Hébert, Mark Boone Junior, Michael S. New, Russell Geoffrey Banks, Rich Lee Gray, Elana Krausz, Kevin Ragsdale, Wen-Chu Yang, Katrina Grey","Thailand, United States",2017,R,0.0,0.0,92.0,359228.0,"Horror,Thriller,Mystery,",Netflix
245,Ginger & Rosa,Sally Potter,"Elle Fanning, Alessandro Nivola, Christina Hendricks, Alice Englert, Timothy Spall, Oliver Platt, Annette Bening, Jodhi May, Oliver Milburn, Andrew Hawley","United Kingdom, Denmark, Canada, Croatia",2012,PG-13,5000000.0,0.0,108.0,9871.0,"Horror,",Netflix
246,Goosebumps 2: Haunted Halloween,Ari Sandel,"Jeremy Ray Taylor, Madison Iseman, Caleel Harris, Wendi McLendon-Covey, Chris Parnell, Ken Jeong, Jack Black","United States, United Kingdom",2018,PG,35000000.0,93320380.0,90.0,442062.0,"Adventure,Comedy,Fantasy,Family,Horror,",Netflix
247,Gothika,Mathieu Kassovitz,"Halle Berry, Robert Downey Jr., Charles S. Dutton, John Carroll Lynch, Bernard Hill, Penélope Cruz, Dorian Harewood, Bronwen Mantel","United States, France, Canada, Spain",2003,R,40000000.0,141591324.0,98.0,4970.0,"Horror,Thriller,",Netflix
248,Grand Masti,Indra Kumar,"Riteish Deshmukh, Vivek Oberoi, Aftab Shivdasani, Suresh Menon, Manjari Fadnis, Sonalee Kulkarni, Karishma Tanna, Kainaat Arora, Bruna Abdullah, Maryam Zakaria, Pradeep Singh Rawat",India,2013,R,0.0,0.0,127.0,403862.0,"Comedy,Fantasy,Horror,",Netflix
249,Green Room,Jeremy Saulnier,"Anton Yelchin, Imogen Poots, Patrick Stewart, Alia Shawkat, Joe Cole, Callum Turner, Macon Blair, David W. Thompson, Mark Webber, Eric Edelstein, Kai Lennox",United States,2015,R,5000000.0,3769214.0,95.0,313922.0,"Horror,Crime,Thriller,",Netflix
250,Happy Hunting,"Joe Dietsch, Louie Gibson","Martin Dingle-Wall, Ken Lally, Kenny Wormald, Connor Williams, Gary Sturm, C.J. Baker, Jeremy Lawson, Liesel Hanson, Kenneth Billings, Michael Tipps",United States,2017,R,0.0,0.0,91.0,412762.0,"Horror,Thriller,",Netflix
251,Happy Times,Luis Javier M. Henaine,"Luis Arrieta, Cassandra Ciangherotti, Humberto Busto, Iván Arana, Bárbara de Regil, Miguel Rodarte",Mexico,2014,NR,0.0,0.0,93.0,639965.0,"Comedy,Horror,",Netflix
252,Haunting on Fraternity Row,Brant Sersen,"Jacob Artist, Jayson Blair, Shanley Caswell, Claudia Lee, Ashton Moio, Cameron Moulene, Molly Tarlov, Chester Rushing",United States,2018,R,0.0,0.0,93.0,551608.0,"Horror,Mystery,Thriller,",Netflix
