,title,budget,revenue,runtime,movie_id,genre
313,Isle of Dogs,62770198,64241499,101,399174,"Adventure,Comedy,Animation,"
314,Mary Poppins Returns,130000000,348807090,131,400650,"Fantasy,Family,Comedy,"
317,Ferdinand,111000000,295038508,108,364689,"Animation,Family,Adventure,Comedy,"
319,Toy Story: That Time Forgot,0,0,22,256835,"Animation,Family,Adventure,Comedy,"
320,700 Sharks,0,0,92,530838,"Documentary,"
321,Big Sharks Rule,0,0,44,781792,"Documentary,"
322,Dr. Seuss' Horton Hears a Who!,85000000,298572799,86,12222,"Animation,Comedy,Family,Adventure,Fantasy,"
323,Great Shark Chow Down,0,0,0,616060,"Documentary,"
324,Mega Hammerhead,0,0,60,405266,"Documentary,"
325,Burrow,0,0,6,747059,"Animation,Family,Comedy,"
328,Max Keeble's Big Move,25000000,18634654,86,34549,"Comedy,Family,"
329,Soul,150000000,136384442,101,508442,"Animation,Family,Comedy,Fantasy,Drama,"
330,Arendelle Castle Yule Log,0,0,180,665287,"Animation,Drama,"
331,Buried Truth of the Maya,0,0,47,743270,"Documentary,History,Mystery,"
333,Dory's Reef Cam,0,0,182,777350,"Family,Animation,Comedy,Adventure,"
334,Into the Woods,50000000,212902372,125,224141,"Fantasy,Comedy,"
335,"Miraculous World: New York, United Heroez",0,0,55,755812,"Animation,Family,Adventure,TV Movie,Fantasy,Action,"
338,Disney Channel's Epic Holiday Showdown,,,,,
339,Disney Holiday Magic Quest,0,0,0,766209,
340,Gender Revolution: A Journey With Katie Couric,0,0,90,438962,"Documentary,TV Movie,"
341,High School Musical: The Musical: The Holiday Special,0,0,45,751126,"Music,Documentary,"
342,Ralph Breaks the Internet,175000000,529221154,112,404368,"Family,Animation,Comedy,Adventure,"
343,Safety,0,0,122,727306,"Family,Drama,History,"
344,Anastasia,53000000,139804348,94,9444,"Animation,Family,Fantasy,Adventure,"
345,Godmothered,0,0,113,662546,"Family,Fantasy,Comedy,"
346,Man vs. Shark,0,0,44,616902,"Documentary,TV Movie,"
347,Mulan,90000000,304320254,88,10674,"Animation,Family,Adventure,"
348,Sky High,35000000,86369815,100,11459,"Adventure,Comedy,Family,"
349,The Disney Holiday Singalong,0,0,45,769647,"Music,Comedy,"
350,The Nutcracker and the Four Realms,120000000,59522646,99,426543,"Fantasy,Adventure,Family,"
351,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,100654149,81,218778,"Family,Comedy,"
352,Black Beauty,0,0,110,526702,"Drama,"
353,From Our Family to Yours,0,0,3,764203,"Animation,Drama,"
356,Folklore: the long pond studio sessions,0,0,106,768141,"Music,Documentary,"
359,Planes,50000000,219788712,91,151960,"Animation,Family,Adventure,Comedy,"
360,Planes: Fire & Rescue,50000000,151165787,83,218836,"Animation,Comedy,Adventure,Family,"
361,The Real Right Stuff,0,0,90,753325,"Documentary,History,"
363,LEGO Star Wars Holiday Special,0,0,44,732670,"Animation,Family,Adventure,Comedy,Science Fiction,"
364,Home Alone,32000000,79082515,102,9714,"Comedy,Family,"
365,Home Alone 2: Lost in New York,18000000,358994850,120,772,"Comedy,Family,Adventure,"
366,Home Alone 3,32000000,79082515,102,9714,"Comedy,Family,"
368,Petra: Secrets of the Ancient Builders,0,0,44,756985,"Documentary,"
369,Ultimate Viking Sword,0,0,44,765158,"Documentary,History,"
370,Disney's A Christmas Carol,200000000,325286646,94,17979,"Animation,Family,Drama,Fantasy,"
373,Mr. Magoo,30000000,75000000,84,9438,"Comedy,Family,"
374,Prep & Landing,0,0,22,26809,"Animation,Fantasy,Family,"
375,Prep & Landing: Naughty vs. Nice,0,0,22,26809,"Animation,Fantasy,Family,"
376,Disney Channel Halloween House Party,0,0,23,754560,"Comedy,Family,"
378,The Sorcerer's Apprentice,150000000,215283742,109,27022,"Fantasy,Adventure,Action,"
383,Once Upon a Snowman,0,0,7,741074,"Animation,Family,Comedy,Fantasy,"
384,Pompeii: Secrets Of The Dead,0,0,0,662389,"Documentary,"
385,Toy Story of Terror!,0,0,22,213121,"Adventure,Animation,Comedy,Family,"
386,Beverly Hills Chihuahua,20000000,149281606,91,14405,"Comedy,Family,Adventure,Romance,"
387,Clouds,0,0,121,630566,"Music,Drama,Romance,"
388,Lost on Everest,0,0,60,704854,"Documentary,"
389,Marvel's Iron Man & Captain America: Heroes United,200000000,1214811252,130,68721,"Action,Adventure,Science Fiction,"
392,Oil Spill of The Century,0,0,44,749079,"Documentary,"
393,The Chronicles Of Narnia: The Voyage of the Dawn Treader,155000000,415686217,113,10140,"Adventure,Family,Fantasy,"
395,Wild Portugal,0,0,44,751545,"Documentary,TV Movie,"
396,X2,16400000,0,108,16820,"Action,Thriller,"
397,Mr. Holland's Opus,31000000,106269971,137,2054,"Drama,Music,Family,"
398,Disneynature Oceans,0,19406406,84,36970,"Documentary,Family,"
399,Hidden Figures,25000000,235956898,127,381284,"Drama,History,"
401,Secret Society of Second-Born Royals,0,0,97,621870,"Action,Adventure,Comedy,Fantasy,"
402,The Giant Robber Crab,0,0,44,746664,"Documentary,"
408,Ever After: A Cinderella Story,26000000,65705772,121,9454,"Drama,Romance,Comedy,"
410,Morning Light,0,0,97,31237,"Documentary,"
411,Notre Dame: Race Against The Inferno,0,0,44,667211,"Documentary,"
415,Christopher Robin,75000000,99138899,104,420814,"Adventure,Comedy,Family,Fantasy,"
416,D2: The Mighty Ducks,0,45610410,106,11164,"Comedy,Action,Family,Drama,"
417,D3: The Mighty Ducks,0,22955097,104,10680,"Comedy,Action,Family,Drama,"
419,Trick or Treat,0,0,78,1015724,"Adventure,Mystery,Comedy,Animation,Family,"
420,Alice Through the Looking Glass,170000000,299457024,113,241259,"Adventure,Family,Fantasy,"
421,Phineas and Ferb The Movie: Candace Against the Universe,0,0,84,594328,"Family,Animation,Science Fiction,Comedy,TV Movie,"
422,Back to the Titanic,0,0,45,682666,"Documentary,"
423,Beauty and the Beast,25000000,424967620,84,10020,"Romance,Family,Animation,Fantasy,"
424,Mars: One Day on the Red Planet,0,0,88,664027,"Documentary,"
425,The One and Only Ivan,0,0,93,508570,"Family,Comedy,Drama,"
428,Disney Zombies 2,,,,,
429,India's Wild Leopards,0,0,44,732965,"Documentary,"
431,Magic Camp,24000000,0,100,454433,"Family,Fantasy,Comedy,"
432,Marvel Studios' Ant-Man and the Wasp,0,0,120,640146,"Adventure,Science Fiction,Comedy,"
437,The Greatest Showman,84000000,432844677,105,316029,"Drama,"
440,Howard,37000000,37962774,110,10658,"Comedy,Fantasy,Science Fiction,"
441,Prince of Persia: The Sands of Time,200000000,336365676,116,9543,"Adventure,Fantasy,Action,"
442,Star Wars: Galaxy's Edge-Adventure Awaits,0,0,81,624371,"Documentary,"
443,The Hidden Kingdoms of China,0,0,88,941407,"Documentary,"
444,The Peanuts Movie,99000000,246233113,88,227973,"Adventure,Comedy,Animation,Family,"
448,Big Cat Games,0,0,44,721509,"Family,Documentary,"
449,Black Is King,0,0,85,719643,"Music,"
450,Cradle of the Gods,0,0,0,586985,"Documentary,History,"
453,Hunt for the Abominable Snowman,0,0,45,729245,"Documentary,"
454,Incredibles 2,200000000,1242805359,118,260513,"Action,Adventure,Animation,Family,"
456,Lost Temple of the Inca,0,0,0,672491,"Documentary,History,Mystery,"
459,Surviving the Mount St. Helens Disaster,0,0,45,714418,"Documentary,"
461,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,794861794,129,166426,"Adventure,Action,Fantasy,"
466,A Pre-Opening Report from Disneyland,0,0,55,720696,"Documentary,History,Family,"
467,Diary of a Wimpy Kid: The Long Haul,22000000,40120144,91,417830,"Comedy,Family,"
469,Lost City of Machu Picchu,0,0,44,713584,"Documentary,History,"
471,The Mouseketeers at Walt Disney World,0,0,0,721497,"Adventure,Drama,Family,"
473,X-Men: Apocalypse,178000000,543934787,144,246655,"Action,Adventure,Science Fiction,Fantasy,"
475,Hamilton: History Has Its Eyes on You,0,0,46,723212,"Documentary,"
476,Solo: A Star Wars Story,250000000,392952373,135,348350,"Science Fiction,Adventure,Action,"
477,X-Men: Days of Future Past,250000000,747862775,132,127585,"Action,Adventure,Science Fiction,"
478,The Undefeated Presents: Hamilton In-Depth,0,0,33,726430,"Documentary,"
480,Diary of a Wimpy Kid: Rodrick Rules,0,0,74,897192,"Animation,Comedy,Family,"
481,Hamilton,0,0,160,556574,"History,Drama,"
482,Ice Age: Collision Course,105000000,408579038,95,278154,"Adventure,Animation,Family,Comedy,Science Fiction,"
483,Race to Witch Mountain,50000000,106303988,98,13836,"Adventure,Family,Fantasy,Science Fiction,Thriller,Action,"
484,The Big Green,0,0,100,26441,"Action,Adventure,Comedy,Family,"
485,The Mighty Ducks,0,45610410,106,11164,"Comedy,Action,Family,Drama,"
486,While You Were Sleeping,17000000,182057016,103,2064,"Romance,Comedy,"
489,Man in Space,0,0,49,205188,"Science Fiction,Documentary,"
490,Mars and Beyond,0,0,55,725864,
491,Marvel Studios' Avengers: Infinity War,300000000,2046239637,149,299536,"Adventure,Action,Science Fiction,"
492,Tarzan,130000000,448191819,88,37135,"Family,Adventure,Animation,Drama,"
493,Tarzan II,0,0,72,15657,"Adventure,Animation,Family,"
495,Big Sur: Wild California,0,0,47,71923,"Documentary,"
497,Egypt's Treasure Guardians,0,0,0,432246,
498,The Jungle Book,4000000,205843612,78,9325,"Family,Animation,Adventure,"
499,The Pirate Fairy,0,20300000,78,175112,"Animation,Family,"
500,Trail Mix-Up,0,0,8,83203,"Comedy,Animation,"
501,Tummy Trouble,0,0,7,83200,"Comedy,Animation,"
502,Artemis Fowl,125000000,0,94,475430,"Adventure,Fantasy,Science Fiction,Family,Action,"
504,The Liberty Story,0,0,48,707260,"Adventure,Drama,Family,"
505,The Story of the Animated Drawing,0,0,49,709647,"Documentary,"
506,Walt & El Grupo,0,0,120,278247,"Drama,"
508,America's Greatest Animals,0,0,96,709660,"Documentary,"
509,Chasing the Equinox,0,0,45,711564,"Documentary,"
512,Percy Jackson & The Olympians: The Lightning Thief,95000000,226497209,118,32657,"Adventure,Fantasy,Family,"
516,Women Of Impact: Changing The World,0,0,0,669441,"Documentary,"
517,"Maggie Simpson in ""The Longest Daycare""",0,0,5,116440,"Animation,Drama,Family,"
518,Mickey and the Seal,0,0,7,67001,"Animation,Comedy,Family,"
520,The Moon-Spinners,0,0,118,42795,"Mystery,Family,Thriller,Romance,"
522,Fantastic Mr. Fox,40000000,46471023,87,10315,"Adventure,Animation,Comedy,Family,"
523,"Hello, Dolly!",24000000,33208099,146,14030,"Comedy,Romance,Music,"
525,Out,175000000,857611174,95,150540,"Animation,Family,Adventure,Drama,Comedy,"
527,The Boys: The Sherman Brothers' Story,0,0,101,64831,"Documentary,Music,"
529,Maleficent: Mistress of Evil,185000000,491730089,119,420809,"Family,Fantasy,Adventure,Action,"
530,Star Wars: The Rise of Skywalker (Episode IX),250000000,1074144248,142,181812,"Adventure,Action,Science Fiction,"
531,John Carter,250000000,284139100,132,49529,"Action,Adventure,Science Fiction,"
534,Bride of Boogedy,0,0,90,47631,"Horror,Family,Comedy,TV Movie,"
537,George of the Jungle,55000000,174463257,93,10603,"Adventure,Comedy,Family,Romance,"
538,Homeward Bound II: Lost in San Francisco,0,32709423,89,25059,"Adventure,Comedy,Drama,Family,"
539,Homeward Bound: The Incredible Journey,0,0,84,6878,"Adventure,Comedy,Drama,Family,"
540,How to Play Baseball,0,0,8,66983,"Comedy,Animation,"
541,In Beaver Valley,0,0,32,162352,"Documentary,"
544,Nature's Half Acre,0,0,33,179182,"Documentary,"
546,Prowlers of the Everglades,0,0,32,179185,"Documentary,"
547,The Princess Bride,16000000,30861665,99,2493,"Adventure,Family,Fantasy,Comedy,Romance,"
550,Water Birds,0,0,30,179184,"Documentary,Family,"
551,National Treasure,100000000,347512318,131,2059,"Adventure,Action,Thriller,Mystery,"
552,Born Wild: The Next Generation,0,0,60,687290,"Documentary,"
554,The Olympic Elk,0,0,27,179183,"Documentary,"
556,Jane Goodall: The Hope,0,0,88,694059,"Documentary,Adventure,"
559,Let's Stick Together,0,0,7,66989,"Animation,"
560,Pluto's Purchase,0,0,7,164976,"Animation,"
562,A Celebration of the Music from Coco,0,0,47,691582,"Music,Documentary,"
564,"Maggie Simpson in ""Playdate with Destiny""",0,0,4,673595,"Animation,Comedy,Family,Romance,"
567,A Tale of Two Critters,0,0,48,290164,"Adventure,Family,Documentary,"
568,All in a Nutshell,0,0,7,49077,"Animation,"
569,Disneynature Penguins,,,,,
570,Diving with Dolphins,0,0,79,689242,"Documentary,"
571,Dolphin Reef,0,0,76,454291,"Documentary,Family,"
572,Don's Fountain of Youth,0,0,6,55503,"Animation,"
573,Donald's Dog Laundry,0,0,8,55362,"Animation,"
574,Double Dribble,0,0,7,66850,"Animation,"
575,Dragon Around,0,0,7,55510,"Animation,Family,"
576,Elephant,0,0,93,843633,"Action,Crime,Thriller,"
577,Elmer Elephant,0,0,8,52482,"Animation,"
579,How To Play Football,0,0,7,66984,"Animation,"
580,In the Footsteps of Elephant,0,0,88,689243,"Documentary,"
581,"Lambert, The Sheepish Lion",0,0,8,54184,"Animation,"
582,On Ice,0,0,8,67152,"Animation,"
583,Onward,200000000,141592359,103,508439,"Family,Animation,Adventure,Comedy,Fantasy,"
584,Out of Scale,0,0,7,67158,"Animation,Family,"
585,Penguins: Life on the Edge,0,0,78,689244,"Documentary,"
586,Pluto's Party,0,0,7,67163,"Animation,"
587,Sea Scouts,0,0,8,78485,"Animation,"
589,The Boy Who Talked to Badgers,0,0,100,400400,"Family,Adventure,TV Movie,"
590,The New Neighbor,0,0,7,67593,"Animation,"
591,The Small One,0,0,26,27287,"Animation,Family,"
592,The Straight Story,10000000,6203044,112,404,"Drama,"
593,Frankenweenie,39000000,81493846,87,62214,"Animation,Comedy,Family,"
594,Mars Needs Moms,150000000,38992758,88,50321,"Adventure,Animation,Family,"
595,Prom,8000000,10130000,104,51588,"Comedy,Romance,"
596,The Last Song,20000000,89137047,107,35690,"Drama,Family,Romance,"
597,The Odd Life of Timothy Green,25000000,56012642,105,71864,"Fantasy,Drama,Comedy,Family,"
599,A Wrinkle in Time,103000000,132675864,109,407451,"Adventure,Science Fiction,Family,Fantasy,"
603,G-Force,150000000,292817841,88,19585,"Animation,Family,Fantasy,Action,Adventure,Comedy,"
604,Frozen 2,0,0,71,490935,"Animation,Music,Family,"
605,Stargirl,0,0,107,382748,"Comedy,Drama,Romance,Family,"
