,title,budget,revenue,runtime,movie_id,genre
251,A Second Chance:  Rivals!,0,0,89,588730,"Drama,Family,"
252,African America,0,0,97,853371,"Drama,"
253,Bankrolled,0,0,97,845422,"Comedy,"
254,Blood Red Sky,17739525,0,121,760883,"Horror,Thriller,Action,"
255,Kingdom: Ashin of the North,0,0,92,845222,"Drama,Fantasy,Thriller,"
256,The Last Letter From Your Lover,0,1451974,110,638449,"Drama,Romance,"
257,9to5: The Story of a Movement,0,0,89,682586,"Documentary,"
258,Chhota Bheem - Dinosaur World,0,0,65,852957,
259,Chhota Bheem - Neeli Pahaadi,0,0,63,852960,
260,Chhota Bheem & Ganesh,0,0,66,218088,"Animation,TV Movie,"
261,Chhota Bheem & Krishna: Mayanagari,0,0,66,218088,"Animation,TV Movie,"
262,Chhota Bheem & Krishna: Pataliputra- City of the Dead,0,0,66,218088,"Animation,TV Movie,"
263,Chhota Bheem And The Broken Amulet,0,0,63,852961,
264,Chhota Bheem And The Crown of Valhalla,0,0,64,852963,
265,Chhota Bheem and the Incan Adventure,0,0,0,401301,
266,Chhota Bheem and The ShiNobi Secret,0,0,63,852965,
267,Chhota Bheem Aur Hanuman,0,0,67,256863,"Animation,Fantasy,"
268,Chhota Bheem aur Krishna,0,0,69,614385,"Action,Adventure,Animation,Fantasy,"
269,Chhota Bheem aur Krishna vs Zimbara,,,,,
270,Chhota Bheem in African Safari,0,0,62,852969,
271,Chhota Bheem Ka Roosi Romanch,0,0,62,750224,"Animation,"
272,Chhota Bheem: Bheem vs Aliens,0,0,69,852970,
273,Chhota Bheem: Dholakpur to Kathmandu,0,0,0,329521,
274,Chhota Bheem: Dus Pe Dus,0,0,62,852974,
275,Chhota Bheem: Journey to Petra,0,0,67,852975,
276,Chhota Bheem: Master of Shaolin,0,0,75,852976,
277,Chhota Bheem: The Rise of Kirmada,0,0,68,852978,"Animation,"
278,Cousins,13000000,22030000,109,31674,"Comedy,Romance,"
279,Wannabe Courageous,0,0,89,620631,"Comedy,"
280,Words Bubble Up Like Soda Pop,0,0,87,579741,"Animation,Romance,Drama,"
281,Sanitation Day,250000,0,104,845377,"Thriller,Crime,"
